chr1	58585814	58585827
chr12	122925699	122925712
chr9	5818111	5818124
chr19	5850889	5850902
chr10	5951274	5951287
chr1	8175025	8175038
chr6	16726332	16726345
chr20	21184994	21185007
chr22	24894344	24894357
chr16	27271694	27271707
chr18	32317356	32317369
chr19	33078412	33078425
chr6	36615253	36615266
chr4	40455701	40455714
chr8	42100516	42100529
chr3	49377725	49377738
chr1	52814651	52814664
chr16	56965042	56965055
chr16	57622074	57622087
chr16	58339522	58339535
chr17	65192565	65192578
chr12	75657609	75657622
chr8	89217151	89217164
chr7	95031707	95031720
chr10	98142589	98142602
chr10	101275443	101275456
chr11	112173350	112173363
chr6	122626020	122626033
chr5	123428729	123428742
chr6	126023599	126023612
chr10	126922161	126922174
chr2	151878862	151878875
chr6	156817295	156817308
chr6	158389403	158389416
chr5	159779173	159779186
chr2	172182831	172182844
chr2	219369546	219369559
chr17	9512516	9512529
chr18	21558025	21558038
chr8	23411086	23411099
chr2	25999609	25999622
chr1	26387566	26387579
chr4	26500696	26500709
chr1	29177953	29177966
chr4	31027476	31027489
chr1	32789642	32789655
chr1	32814444	32814457
chr9	33382608	33382621
chr19	39438750	39438763
chr19	40463664	40463677
chr1	41855939	41855952
chr22	43153207	43153220
chr19	46693500	46693513
chrX	57448043	57448056
chr6	63500781	63500794
chrX	65911082	65911095
chr17	72386356	72386369
chr10	74337816	74337829
chr8	101010176	101010189
chr11	110473032	110473045
chr4	116400655	116400668
chr10	119172819	119172832
chr6	128739280	128739293
chr6	129499771	129499784
chrX	132853207	132853220
chr5	138692567	138692580
chr6	140859084	140859097
chr1	155776604	155776617
chr2	172182799	172182812
chr1	179000407	179000420
chr3	196055891	196055904
chr3	196055956	196055969
chr3	196056023	196056036
chr2	122390619	122390632
chr1	42052572	42052585
chr1	193111772	193111785
chr1	22279862	22279875
chr6	28939793	28939806
chr6	31929669	31929682
chr7	43736382	43736395
chr17	62633792	62633805
chr1	70334580	70334593
chr2	73888170	73888183
chr11	113884498	113884511
chr2	176312814	176312827
chr1	16257734	16257747
chr1	27934012	27934025
chr11	34238807	34238820
chr8	37905709	37905722
chr19	47726730	47726743
chr12	56321282	56321295
chr4	56990279	56990292
chr3	66397948	66397961
chr10	77965551	77965564
chr9	83933968	83933981
chr10	92225028	92225041
chr2	230552354	230552367
chr5	38207485	38207498
chr18	58054549	58054562
chr1	200413953	200413966
chr17	68698206	68698219
chr17	67812553	67812566
chr16	4290402	4290415
chr19	4399271	4399284
chr17	8212827	8212840
chr19	13147416	13147429
chr6	15331285	15331298
chr22	18038586	18038599
chr9	21779602	21779615
chr22	23921728	23921741
chr16	27264324	27264337
chr7	42884290	42884303
chr14	51837598	51837611
chr14	54556772	54556785
chr2	61091715	61091728
chr2	64818493	64818506
chr15	67851171	67851184
chr10	68805592	68805605
chr10	71759458	71759471
chr16	72555171	72555184
chr13	72983251	72983264
chr17	82522273	82522286
chr16	84099728	84099741
chr9	85844168	85844181
chr1	93828083	93828096
chr6	147694768	147694781
chr3	149298380	149298393
